City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,port mathurin,-19.6833,63.4167,79.72,73,52,17.36,MU,1737866342
130,leh,34.1667,77.5833,2.84,43,0,3.18,IN,1737866344
131,arraial do cabo,-22.9661,-42.0278,76.23,91,82,21.92,BR,1737866345
132,kronoby,63.7286,23.0339,37.54,80,40,14.97,FI,1737866346
133,maiquetia,10.5962,-66.9548,75.34,64,84,3.44,VE,1737866347
134,udachny,66.4167,112.4,-35.82,99,87,3.8,RU,1737866348
135,davis,41.0005,-112.0013,29.95,61,100,28.77,US,1737866295
136,illizi,26.4833,8.4667,58.37,19,27,3.58,DZ,1737866351
137,sao gabriel da cachoeira,-0.1303,-67.0892,69.39,99,64,2.33,BR,1737866352
138,djibo,14.1022,-1.6306,69.89,17,9,10.69,BF,1737866353
139,kuanda,56.3161,116.0806,-16.22,93,45,1.43,RU,1737866354
140,darwin,-12.4611,130.8418,76.98,94,75,2.3,AU,1737866355
141,ribeira grande,38.5167,-28.7,65.77,91,100,25.01,PT,1737866356
142,east ballina,-28.8667,153.5833,77.54,69,14,13.87,AU,1737866357
143,tralee,52.2704,-9.7026,40.66,83,98,17.05,IE,1737866359
144,surgut,61.25,73.4167,12.38,92,75,4.47,RU,1737866360
145,alenquer,-1.9417,-54.7383,72.9,96,22,3.11,BR,1737866361
146,sept-iles,50.2001,-66.3821,8.6,68,75,10.36,CA,1737866267
147,clarkston heights-vineland,46.3874,-117.083,30.81,59,0,6.91,US,1737866363
148,bilibino,68.0546,166.4372,-37.61,100,99,1.61,RU,1737866364
149,bubaque,11.2833,-15.8333,75.09,70,42,12.75,GW,1737866365
150,bel ombre,-4.6167,55.4167,79.29,80,100,10.38,SC,1737866367
151,argo,37.6333,22.7333,49.46,82,39,2.8,GR,1737866368
152,alice springs,-23.7,133.8833,103.55,10,0,11.5,AU,1737866369
153,choyr,46.3611,108.3611,-1.03,67,2,13.22,MN,1737866370
154,kayangel,8.0823,134.7173,82.54,74,100,14.23,PW,1737866371
155,punta arenas,-53.15,-70.9167,53.71,76,40,6.91,CL,1737866372
156,tangalle,6.024,80.7911,83.86,69,42,12.8,LK,1737866373
157,sungai raya,0.7,108.9,81.55,82,96,5.23,ID,1737866375
158,nuuk,64.1835,-51.7216,20.01,58,100,12.66,GL,1737866300
159,olonkinbyen,70.9221,-8.7187,27.59,83,87,31.43,SJ,1737866377
160,kargopol',61.5071,38.9456,32.65,94,100,8.46,RU,1737866379
161,castillos,-34.1667,-53.8333,63.14,78,1,3.53,UY,1737866381
162,gunjur,13.2019,-16.7339,69.87,49,0,8.05,GM,1737866382
163,boende,-0.2167,20.8667,70.81,79,94,1.66,CD,1737866384
164,karasu,41.071,30.7854,44.31,94,35,1.72,TR,1737866385
165,birao,10.2849,22.7882,59.61,24,0,6.22,CF,1737866386
166,christchurch,-43.5333,172.6333,68.95,74,75,16.11,NZ,1737866387
167,howrah,22.5892,88.3103,73.4,46,0,8.05,IN,1737866389
168,casablanca,33.5928,-7.6192,48.42,85,31,7.07,MA,1737866390
169,san antonio de pale,-1.4014,5.6325,79.84,82,94,7.25,GQ,1737866391
170,barcelos,41.5388,-8.6151,52.21,91,100,22.21,PT,1737866392
171,gambela,8.25,34.5833,77.99,39,0,1.68,ET,1737866393
172,nemyriv,48.9708,28.8378,41.34,91,63,12.53,UA,1737866394
173,suva,-18.1416,178.4415,81.88,89,75,8.05,FJ,1737866395
174,la'ie,21.6477,-157.9253,75.06,84,40,4.0,US,1737866397
175,san luis de la loma,17.2706,-100.8939,75.97,82,14,4.27,MX,1737866398
176,carutapera,-1.195,-46.02,74.73,92,90,3.89,BR,1737866399
177,mil'kovo,55.6078,37.7956,36.34,64,100,12.82,RU,1737866401
178,inari,68.906,27.0288,20.37,96,100,2.89,FI,1737866402
179,peace river,56.2501,-117.286,32.31,64,0,6.91,CA,1737866404
180,as sulayyil,20.4607,45.5779,61.34,35,57,9.62,SA,1737866405
181,sitka,57.0531,-135.33,39.09,87,75,5.75,US,1737866407
182,stanley,54.868,-1.6985,33.82,94,0,6.91,GB,1737866408
183,hermanus,-34.4187,19.2345,66.79,88,33,0.89,ZA,1737866409
184,angaur state,6.906,134.13,83.55,73,75,15.37,PW,1737866410
185,namibe,-15.1961,12.1522,72.7,80,93,6.26,AO,1737866412
186,oistins,13.0667,-59.5333,77.09,83,40,11.5,BB,1737866413
187,tazovsky,67.4667,78.7,-18.58,100,90,6.44,RU,1737866414
188,hozat,39.1083,39.2213,24.22,83,24,4.25,TR,1737866415
189,copala,16.65,-98.9833,74.43,70,1,4.25,MX,1737866417
190,freguesia do ribeirao da ilha,-27.7177,-48.5627,76.84,91,40,2.3,BR,1737866419
191,mili,6.0815,171.735,80.92,79,88,16.84,MH,1737866420
192,shizuishan,39.2333,106.7694,14.7,23,0,14.56,CN,1737866421
193,haapajarvi,63.75,25.3333,33.42,93,100,10.49,FI,1737866422
194,gidole,5.65,37.3667,63.0,48,74,2.82,ET,1737866423
195,lospalos,-8.5186,127.0025,81.1,74,100,2.24,TL,1737866424
196,ambovombe,-25.1667,46.0833,75.65,87,100,8.41,MG,1737866425
197,lazaro cardenas,17.9583,-102.2,75.6,89,1,2.64,MX,1737866427
198,khandyga,62.6667,135.6,-16.83,97,99,2.66,RU,1737866428
199,ponta delgada,37.7333,-25.6667,65.12,82,75,27.63,PT,1737866429
200,forbes,-33.3833,148.0167,99.43,16,1,7.36,AU,1737866430
201,sinop,41.7711,34.8709,41.74,90,98,1.81,TR,1737866431
202,baharly,38.4362,57.4316,43.99,51,83,1.9,TM,1737866432
203,nyurba,63.2842,118.3319,-28.26,94,46,3.06,RU,1737866433
204,homer,59.6425,-151.5483,44.49,78,100,12.66,US,1737866245
205,hadibu,12.65,54.0333,74.1,64,35,14.97,YE,1737866436
206,manay,7.215,126.5397,83.26,77,84,10.8,PH,1737866437
207,holualoa,19.6228,-155.9522,72.82,83,8,5.08,US,1737866439
208,nishinoomote,30.7333,131.0,55.96,62,40,10.36,JP,1737866440
209,gwadar,25.1216,62.3254,68.65,27,0,5.14,PK,1737866442
210,eyl,7.9803,49.8164,74.21,69,100,18.52,SO,1737866444
211,bathsheba,13.2167,-59.5167,77.61,83,40,11.5,BB,1737866445
212,ejura,7.3856,-1.3562,76.28,83,12,5.26,GH,1737866446
213,fortuna,40.5982,-124.1573,38.35,80,0,6.91,US,1737866448
214,kiunga,-6.1219,141.2906,83.28,71,100,1.61,PG,1737866449
215,ts'khinvali,42.2276,43.9686,34.27,78,98,4.27,GE,1737866451
216,marion,39.7684,-86.1555,35.38,71,75,12.66,US,1737866452
217,puerto baquerizo moreno,-0.9,-89.6,74.57,88,6,9.08,EC,1737866453
218,san patricio,28.017,-97.5169,64.35,94,100,12.66,US,1737866454
219,sao miguel do tapuio,-5.5036,-41.3233,69.6,91,1,2.51,BR,1737866455
220,eenhana,-17.4667,16.3333,68.4,74,85,2.44,NA,1737866456
221,rio verde,21.9333,-99.9833,55.98,69,1,4.79,MX,1737866457
222,cova figueira,14.8905,-24.2934,60.4,79,4,14.76,CV,1737866459
223,tofol,5.3248,163.0078,82.18,83,100,4.61,FM,1737866460
224,hilo,19.7297,-155.09,74.93,90,100,1.01,US,1737866388
225,mkushi,-13.6202,29.3939,63.05,95,95,2.17,ZM,1737866462
226,nemuro,43.3236,145.575,32.29,80,96,20.85,JP,1737866463
227,petawawa,45.9001,-77.3328,23.79,80,98,7.38,CA,1737866464
228,al wajh,26.2455,36.4525,62.55,45,0,5.75,SA,1737866466
229,st. john's,47.5649,-52.7093,22.15,83,20,20.71,CA,1737866467
230,kerema,-7.9631,145.7785,83.07,76,100,8.48,PG,1737866468
231,barah,13.7,30.3667,58.62,30,1,8.95,SD,1737866469
232,ola,59.5833,151.2833,-5.37,86,6,1.81,RU,1737866471
233,wynyard,-41.0,145.7167,64.18,78,86,11.01,AU,1737866472
234,crane,31.3974,-102.3501,48.04,51,18,9.66,US,1737866473
235,urangan,-25.3,152.9,81.09,79,57,16.24,AU,1737866474
236,kruisfontein,-34.0033,24.7314,72.1,83,1,11.52,ZA,1737866476
237,xining,36.6167,101.7667,22.62,24,0,4.56,CN,1737866477
238,the pas,53.8251,-101.2541,19.42,79,75,10.36,CA,1737866478
239,boise,43.6135,-116.2035,25.02,62,0,5.75,US,1737866479
240,port macquarie,-31.4333,152.9167,82.08,74,100,7.0,AU,1737866480
241,guaruja,-23.9931,-46.2564,76.08,84,100,4.18,BR,1737866481
242,perry,37.2506,-83.1999,32.05,70,87,5.97,US,1737866482
243,la passe,45.5549,-0.8967,44.85,86,65,14.92,FR,1737866483
244,prince rupert,54.3161,-130.3201,40.69,81,0,13.8,CA,1737866485
245,tucuma,-0.1833,-50.05,75.83,92,100,5.64,BR,1737866486
246,usinsk,65.9939,57.5281,19.49,95,100,16.75,RU,1737866487
247,al jawf,29.5,38.75,50.4,50,100,12.59,SA,1737866488
248,fort bragg,35.139,-79.006,33.35,74,0,0.0,US,1737866489
249,effingham,32.3669,-81.3332,31.95,89,1,3.44,US,1737866491
250,altai,46.3722,96.2583,0.39,44,91,1.9,MN,1737866493
251,uige,-7.6087,15.0613,64.47,99,100,2.13,AO,1737866494
252,mcfarland,35.678,-119.2293,46.26,71,100,3.44,US,1737866495
253,east london,-33.0153,27.9116,70.74,88,0,3.44,ZA,1737866498
254,dunedin,-45.8742,170.5036,60.8,87,100,1.99,NZ,1737866499
255,iranshahr,27.2025,60.6848,50.34,27,0,4.61,IR,1737866500
256,dhidhdhoo,6.8833,73.1,81.7,77,44,10.11,MV,1737866502
257,coahuayana de hidalgo,18.7,-103.6583,72.23,92,10,3.56,MX,1737866503
258,umluj,25.0213,37.2685,68.65,41,100,11.48,SA,1737866504
259,constantia,44.1833,28.65,43.7,81,90,4.88,RO,1737866506
260,al mindak,20.1588,41.2834,51.75,81,2,2.82,SA,1737866507
261,ajuchitlan del progreso,18.1519,-100.4835,73.47,45,3,3.58,MX,1737866508
262,kalemie,-5.9475,29.1947,68.52,89,100,5.7,CD,1737866509
263,toliara,-23.35,43.6667,74.95,94,100,13.62,MG,1737866510
264,uturoa,-16.7333,-151.4333,82.74,75,6,14.07,PF,1737866511
265,viedma,-40.8135,-62.9967,63.75,59,7,13.15,AR,1737866512
266,lata,40.1629,-8.3327,54.48,76,100,7.43,PT,1737866514
